지 역,2013년 01분기,2013년 02분기,2013년 03분기,2013년 04분기,2014년 01분기,2014년 02분기,2014년 03분기,2014년 04분기,2015년 01분기,2015년 02분기,2015년 03분기,2015년 04분기,2016년 01분기
전체,14.9,14.9,14.9,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
서울,20.4,20.4,20.5,20.5,20.4,20.5,20.5,20.4,20.5,20.5,20.4,20.5,20.5
도심,24.4,24.3,24.3,24.4,24.3,24.3,24.3,24.3,24.4,24.4,24.3,24.4,24.5
광화문,21.6,21.4,21.4,21.4,21.3,21.4,21.4,21.4,21.4,21.4,21.4,21.4,22.4
동대문,16.8,16.8,16.8,16.9,17,17,17,17.1,16.9,17,17,17.4,16.4
명동,23.3,23.2,23.2,23.4,23.4,23.4,23.4,23.5,23.4,23.5,23.5,23.5,23.1
서울역,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.6,21.6,21.6,21.5,21.5,21.5
종로,33.3,33.4,33.4,33.4,33.3,33.3,33.3,33.4,33.6,33.7,33.4,33.4,33.4
충무로,15.4,15.4,15.4,15.6,15.6,15.5,15.5,15.6,15.5,15.5,14.6,14.8,14.8
강남,21.6,21.6,21.6,21.5,21.5,21.5,21.5,21.3,21.3,21.3,21.3,21.3,21.2
강남대로,23.8,23.9,23.8,23.9,23.9,23.9,23.9,23.4,23.5,23.5,23.4,23.4,23.5
도산대로,19.5,19.4,19.4,19.1,19.1,19,19,18.5,18.5,18.6,18.6,18.6,18.6
서초,18.9,18.9,18.9,19,19,19,19,19,19.1,19,19,19,18.9
신사,19.2,19.3,19.3,19.3,19.3,19.3,19.3,19,19.1,19.1,19.1,19.1,19.1
테헤란로,22.1,22.1,22,21.9,21.9,21.8,21.8,21.8,21.7,21.7,21.7,21.8,21.7
여의도마포,17.9,18.1,18.3,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.5
공덕역,16.4,16.4,16.5,16.5,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4
여의도,19.9,20.1,20.5,20.6,20.6,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
영등포,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.1,12.1,12.2,12.2,12.2
기타,14.1,14.2,14.1,14,14,14,14,14.1,14.1,14.1,14.1,14.1,14.1
목동,13.4,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.6,13.6,13.6,13.6,13.7
사당,22.9,23,23,21.1,21,21.4,21.4,21.4,21.5,21.5,21.5,21.5,21.6
용산,15.5,15.5,15.5,15.5,15.4,15.4,15.4,15.4,15.3,15.3,15.3,15.3,15.3
잠실,15.3,15.3,15.2,15.2,15.2,15.2,15.2,15.4,15.5,15.5,15.5,15.5,15.6
장안동,10.9,10.9,10.9,10.8,10.8,10.6,10.6,10.5,10.6,10.6,10.4,10.4,10.4
천호,10.2,10.2,10.2,10.3,10.3,10.4,10.4,10.7,10.6,10.6,10.6,10.6,10.6
홍대합정,18.6,18.6,18.6,18.4,18.4,18.1,18.1,18.1,18.1,17.9,18,17.8,17.8
화곡,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.3,9.3,9.3,9.3,9.4
부산,8,8,8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
부산역,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.7,6.7,6.7,6.7
서면,9.1,9.1,9.1,8.6,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.8
연산로터리,9.4,9.5,9.4,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.4
중구시장,7.7,7.7,7.7,7.5,7.5,7.5,7.5,7.5,7.6,7.7,7.7,7.7,7.7
현대백화점주변,6.9,7,7,6.9,6.9,7,7,7,7,7,7,6.9,6.9
대구,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
동성로,8.3,8.4,8.4,8.3,8.3,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2
범어,5.4,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.5,5.4,5.4,5.4,5.4
수성,7.5,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.5,7.5
인천,11.2,9.6,9.6,9.4,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
구월간석,10.4,10.5,10.5,9.7,9.7,9.7,9.7,9.7,9.6,9.7,9.7,9.7,9.7
부평,14.4,10.1,10.1,10.2,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
주안,8.6,8.6,8.6,8.5,8.6,8.6,8.6,8.5,8.5,8.6,8.5,8.5,8.5
광주,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1
금남로/충장로,5.8,5.8,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.6,5.6,5.6,5.6
상무지구,8,8,8.1,8,8,8.1,8.1,8.1,8.1,8.1,8,7.9,7.9
대전,5,5,4.9,5,4.9,4.9,4.9,4.9,4.9,5,5,5,5
둔산,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.5,6.5,6.5,6.5
서대전네거리,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.7,4.7,4.8
원도심,4.2,4.2,4.2,4.2,3.9,4,4,4,4,4,4,4,4
울산,8,8.1,8.1,8.3,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.2
삼산동,8.8,8.9,8.9,9.2,9.2,9.2,9.2,9.2,9.2,9.1,9.1,9.1,9.2
신정동,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4
경기,11.8,11.9,11.6,11.5,11.5,11.4,11.4,11.3,11.3,11.2,11.2,11.2,11.2
분당,17.1,17.2,16.5,16.5,16.5,16.5,16.5,16.3,16.3,16.1,16.1,16.1,16.1
인계동,8,8,7.9,7.9,7.9,7.9,7.9,8.2,8.2,8.2,8.2,8.2,8.2
일산동구,11.4,11.4,11.4,10.7,10.3,10.1,10.1,10,9.9,9.4,9.4,9.4,9.4
평촌범계,11.1,11.3,11,11.1,11.1,11.1,11.1,10.9,10.8,10.8,10.8,10.7,10.7
강원,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.8,6.7,6.7,6.7
충북,4.2,4.2,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5
충남,7.3,7.2,7.2,7.3,7.3,7.3,7.3,7.2,7.2,7.3,7.2,7.2,7.2
전북,4.1,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2
전남,5.9,5.9,5.9,5.7,5.7,5.6,5.6,5.6,5.4,5.4,5.4,5.4,5.4
경북,7.5,7.5,7.5,7.5,7.4,7.3,7.3,7.4,7.4,7.3,7.3,7.3,7.3
경남,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5
제주,4.6,4.6,4.6,4.5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
