시도,2014년 04분기 지하1층,2014년 04분기 1층,2014년 04분기 2층,2014년 04분기 3층,2014년 04분기  4층,2014년 04분기  5층,2014년 04분기  6-10층,2014년 04분기  11층이상,2015년 01분기 지하1층,2015년 01분기 1층,2015년 01분기 2층,2015년 01분기 3층,2015년 01분기  4층,2015년 01분기  5층,2015년 01분기  6-10층,2015년 01분기  11층이상,2015년 02분기 지하1층,2015년 02분기 1층,2015년 02분기 2층,2015년 02분기 3층,2015년 02분기  4층,2015년 02분기  5층,2015년 02분기  6-10층,2015년 02분기  11층이상,2015년 03분기 지하1층,2015년 03분기 1층,2015년 03분기 2층,2015년 03분기 3층,2015년 03분기  4층,2015년 03분기  5층,2015년 03분기  6-10층,2015년 03분기  11층이상,2015년 04분기 지하1층,2015년 04분기 1층,2015년 04분기 2층,2015년 04분기 3층,2015년 04분기  4층,2015년 04분기  5층,2015년 04분기  6-10층,2015년 04분기  11층이상,2016년 01분기 지하1층,2016년 01분기 1층,2016년 01분기 2층,2016년 01분기 3층,2016년 01분기  4층,2016년 01분기  5층,2016년 01분기  6-10층,2016년 01분기  11층이상
전체,10.1,27.1,15.5,13.4,12.9,12.7,13.7,18.5,9.9,27.1,15.5,13.4,12.9,12.8,13.7,18.5,9.9,27.2,15.5,13.3,12.9,12.7,13.7,18.6,9.9,27.2,15.5,13.3,12.9,12.7,13.7,18.5,9.9,27.2,15.5,13.4,12.9,12.7,13.7,18.6,10.1,27.1,15.5,13.4,12.9,12.8,13.7,18.5
전체,37.14,100,57.3,49.3,47.7,47,50.6,68.1,36.53,100,57.3,49.3,47.7,47,50.6,68.4,36.53,100,57.2,49.2,47.7,46.9,50.5,68.3,36.4,100,57,49.1,47.6,46.8,50.2,68.2,36.41,100,57.1,49.1,47.6,46.9,50.2,68.3,37.31,100,57.4,49.4,47.7,47.1,50.5,68.3
서울,13.1,39.3,23.1,19.7,19.3,18.9,19.4,22.3,12.9,39.3,23.2,19.7,19.3,19,19.4,22.4,12.9,39.4,23.2,19.7,19.3,18.9,19.4,22.5,12.9,39.5,23.2,19.7,19.3,18.9,19.4,22.4,12.9,39.5,23.3,19.7,19.3,19,19.4,22.5,13.2,39.3,23.3,19.8,19.3,19.1,19.4,22.4
서울,33.47,100,58.8,50.1,49.1,48.1,49.4,56.8,32.72,100,59,50.1,49.1,48.3,49.4,57,32.7,100,58.8,49.9,49,48,49.3,56.9,32.71,100,58.7,49.8,49,48,49,56.8,32.68,100,58.9,49.9,48.9,48.1,49,56.9,33.51,100,59.4,50.3,49.2,48.5,49.4,57.1
도심,15.3,43.7,25.9,23.4,22.9,22.7,22.6,27,14.2,43.4,26,23.5,22.9,22.8,22.5,27.1,14.2,43.4,26,23.4,22.9,22.7,22.5,27.2,14.2,43.2,25.9,23.4,22.9,22.7,22.3,27.1,14.2,43.2,25.9,23.4,23.1,22.8,22.4,27.2,15,43.2,26.2,23.6,23.2,22.9,22.6,27.3
도심,35.04,100,59.3,53.6,52.3,52,51.6,61.7,32.75,100,59.9,54,52.8,52.4,51.9,62.5,32.76,100,59.8,53.9,52.8,52.4,51.9,62.5,32.87,100,60,54,53,52.5,51.5,62.8,32.86,100,60,54.2,53.4,52.7,51.8,62.9,34.81,100,60.7,54.7,53.7,53.1,52.3,63.2
광화문,10.4,36.2,22.4,21.3,21.5,21,21.4,21.5,10.4,36.2,22.4,21.3,21.5,21,21.4,21.5,10.4,36.2,22.4,21.3,21.5,21,21.4,21.5,10.4,36.2,22.4,21.3,21.5,21,21.4,21.5,10.4,36.2,22.4,21.3,21.5,21,21.4,21.6,14,35.4,24,22.3,22.5,22.1,22.5,22.4
광화문,28.62,100,61.8,58.9,59.4,58,59.1,59.5,28.65,100,61.8,58.9,59.4,58.1,59.2,59.5,28.66,100,61.8,58.9,59.4,58.2,59.1,59.5,28.66,100,61.8,58.9,59.4,58.2,59.1,59.5,28.66,100,61.8,58.9,59.4,58.2,59.1,59.7,39.54,100,67.6,63,63.5,62.2,63.5,63.1
동대문,7.9,25.4,18,17.5,16.8,17.5,18,12.2,8.2,25.5,18,17.4,16.8,17.5,17.5,12.2,8.2,25.5,18,17.3,17,17.2,17.8,12.7,8.2,25.5,18,17.4,17.1,17.1,17.6,12.7,8.2,25.5,18,17.2,17.7,17.5,18,14.2,8.3,25.9,17.9,16.3,16.7,16.7,16.6,14.4
동대문,30.95,100,70.9,68.8,66.2,68.8,70.9,48,32.38,100,70.5,68.4,66.2,68.6,68.9,47.8,32.38,100,70.6,68,66.7,67.5,69.7,49.8,32.37,100,70.6,68.2,67,67.3,69.3,49.8,32.37,100,70.6,67.5,69.6,68.7,70.5,55.7,32.26,100,69.2,62.9,64.7,64.5,64.1,55.6
