전체,2015년 1분기 지하1층,2015년 1분기 1층,2015년 1분기 2층,2015년 2분기 지하1층,2015년 2분기 1층,2015년 2분기 2층,2015년 3분기 지하1층,2015년 3분기 1층,2015년 3분기 2층,2015년 4분기 지하1층,2015년 4분기 1층,2015년 4분기 2층,2016년 1분기 지하1층,2016년 1분기 1층,2016년 1분기 2층,2016년 2분기 지하1층,2016년 2분기 1층,2016년 2분기 2층,2016년 3분기 지하1층,2016년 3분기 1층,2016년 3분기 2층,2016년 4분기 지하1층,2016년 4분기 1층,2016년 4분기 2층
전체 임대료,8.5,16.5,8,8.6,16.5,8,8.8,16.4,8,8.8,16.4,8,8.8,16.5,8,8.6,16.5,8,8.4,16.5,8,8.4,16.5,7.9
전체 효용비율,51.44,100,48.3,52.01,100,48.4,53.45,100,48.6,53.53,100,48.5,53.45,100,48.6,51.99,100,48.4,50.55,100,48.2,50.69,100,48.1
서울특별시 임대료,32.5,46.5,23.8,31.6,46.5,23.7,31.9,46.5,23.7,32.1,46.5,23.8,32,46.6,23.7,31.9,46.7,23.7,32,46.8,23.7,32.3,46.7,23.7
서울특별시 효용비율,69.9,100,51.2,68.05,100,50.9,68.49,100,50.9,69.09,100,51.2,68.6,100,50.8,68.21,100,50.8,68.29,100,50.7,69.16,100,50.6
도심 임대료,20.3,52.1,21.8,20.3,52.3,21.7,20.3,52.3,21.7,20.3,52.3,21.7,20.3,52.3,21.5,20.3,52.4,21.5,20.8,52.7,21.5,20.8,52.6,21.4
도심 효용비율,38.97,100,41.9,38.77,100,41.5,38.76,100,41.5,38.76,100,41.5,38.75,100,41.2,38.74,100,41.1,39.49,100,40.9,39.57,100,40.8
광화문 임대료,0,52.6,0,0,52.6,0,0,52.6,0,0,52.6,0,0,52.8,0,0,52.8,0,0,52.8,0,0,52.7,0
광화문 효용비율,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0
남대문 임대료,26.6,66,33.7,26.6,66,33.7,26.6,66,33.7,26.6,66,33.7,26.6,66,33.7,26.6,66,33.7,26.6,66,33.7,26.6,66,33.7
남대문 효용비율,40.31,100,51,40.31,100,51,40.31,100,51,40.31,100,51,40.31,100,51,40.31,100,51,40.31,100,51.1,40.33,100,51.1
