A,B,C,시군명,건축년도,아파트명,층수,도로명,I,J
2017,7,2131,부천시,2005,신일해피트리,5,경인로484번길,27650,59.64
2017,7,2131,부천시,1987,청암(91-2),1,안곡로,14700,56.61
2017,7,2131,부천시,2004,트윈파크,2,부광로36번길,25650,67.81
2017,7,2131,부천시,1987,풍남,1,범안로58번길,13500,48.87
2017,7,2131,부천시,1988,현대허니문,4,안곡로30번길,11200,43.74
2017,7,2131,부천시,1989,현대2차,1,경인로498번길,18500,51.37
2017,7,2131,부천시,1986,대성,4,안곡로,15500,54.36
2017,7,2131,부천시,2005,풍원,12,경인로548번길,26900,79.1
2017,7,2131,부천시,2006,우남푸르미아,3,길주로377번길,32500,72.62
2017,7,2131,부천시,2011,범박휴먼시아2단지,12,양지남로68번길,41500,84.93
2017,7,2131,부천시,2003,현대홈타운1-6,10,은성로,35000,84.39
2017,7,2131,부천시,2003,부천범박힐스테이트 4단지,19,범안로96번길,38600,99.61
2017,7,2131,부천시,1995,신호,4,경인로562번길,19400,59.82
2017,7,2131,부천시,1994,금강마을(주공),8,계남로,21000,41.85
2017,7,2131,부천시,1995,중흥마을(주공),10,계남로,31000,58.71
2017,7,2131,부천시,2009,팰리스카운티,11,중동로,47000,84.99
2017,7,2131,부천시,1993,그린타운(한신),4,부흥로,43600,133.12
2017,7,2131,부천시,1995,한라마을(주공2),9,계남로,20500,41.85
2017,7,2131,부천시,1996,덕유마을(주공3),24,중동로,26900,58.74
2017,7,2131,부천시,1996,덕유마을(주공2),4,도약로,21300,45
2017,7,2131,부천시,1987,대현청실,2,부광로22번길,14900,44.28
2017,7,2131,부천시,1987,성우,3,안곡로149번길,12600,44.28
2017,7,2131,부천시,2002,네오빌,10,경인로,11000,26.91
2017,7,2131,부천시,2005,클레버,1,범안로45번길,21800,77.22
2017,7,2131,부천시,1995,포도마을(영남),25,조마루로,33500,59.96
2017,7,2131,부천시,1993,미리내마을(롯데2),6,조마루로,34500,64.08
2017,7,2131,부천시,1993,무지개마을(동신),9,조마루로,36800,84.6
2017,7,2131,부천시,1996,덕유마을(주공2),12,도약로,21800,45
2017,7,2131,부천시,1996,한라마을(주공3),15,도약로,27000,59.93
2017,7,2131,부천시,1996,덕유마을(주공2),7,도약로,21500,45
2017,7,2131,부천시,1993,설악마을(주공),8,계남로,18500,44.1
2017,7,2131,부천시,1993,설악마을(주공),14,계남로,18700,44.1
2017,7,2131,부천시,2009,팰리스카운티,20,중동로,45400,84.99
2017,7,2131,부천시,2015,래미안 부천 중동,15,신흥로276번길,56000,84.98
2017,7,2131,부천시,1997,덕유마을(주공4),19,도약로,25800,59.98
2017,7,2131,부천시,2011,프라움시티,11,소향로,13500,24.8
2017,7,2131,부천시,1994,연화마을(쌍용),13,옥산로,37300,84.86
2017,7,2131,부천시,2009,팰리스카운티,24,중동로,42000,59.98
2017,7,2131,부천시,1997,덕유마을(주공4),18,도약로,27900,59.98
2017,7,2131,부천시,1980,부천극동APT,2,성주로,22700,86.02
2017,7,2131,부천시,1996,한라마을(주공3),11,도약로,26300,58.14
2017,7,2131,부천시,1994,연화마을(건영),11,옥산로,32500,84.23
2017,7,2131,부천시,1995,한라마을(주공2),12,계남로,19500,41.85
2017,7,2131,부천시,1995,한라마을(주공2),1,계남로,17000,41.85
2017,7,2131,부천시,1993,미리내마을(롯데1),4,소향로,18100,33.54
2017,7,2131,부천시,1995,연화마을(대원),15,옥산로,41500,127.06
2017,7,2131,부천시,1987,성우,3,안곡로149번길,10500,36.99
2017,7,2131,부천시,1985,동신,7,성주로,19300,58.59
2017,7,2131,부천시,1989,현대,9,성주로,29000,77.28
2017,7,2131,부천시,1995,성호,1,경인로3번길,23000,84.96
2017,7,2131,부천시,1984,건우1,5,중동로71번길,20000,58.05
2017,7,2131,부천시,2010,부천 우방 유쉘,18,경인로134번길,38000,84.94
2017,7,2131,부천시,2008,중동푸르지오2차(A단지),4,경인로117번길,41000,84.99
2017,7,2131,부천시,1989,현대,2,소사로300번길,15700,53.24
2017,7,2131,부천시,1986,한도(1-6동),4,부일로,13400,44.17
2017,7,2131,부천시,2004,대림e-편한세상3차,8,지봉로,40000,84.98
2017,7,2131,부천시,2006,동부센트레빌3단지,2,안곡로279번길,32500,59.5
2017,7,2131,부천시,2005,역곡4차e-편한세상,9,역곡로20번길,36250,84.65
2017,7,2131,부천시,2004,대림e-편한세상2차,9,지봉로143번길,37000,84.97
2017,7,2131,부천시,1988,현대,7,성주로,18250,50.49
2017,7,2131,부천시,2008,중동푸르지오2차(A단지),7,경인로117번길,42350,84.99
2017,7,2131,부천시,1985,성우,1,경인로53번길,15800,55.26
2017,7,2131,부천시,1979,삼익1,6,경인로134번길,12500,39.93
2017,7,2131,부천시,1987,신한일,2,평천로751번길,12500,46.02
2017,7,2131,부천시,2004,부천범박힐스테이트2단지,3,범안로,34150,75.84
2017,7,2131,부천시,2011,범박휴먼시아2단지,1,양지남로68번길,35700,84.93
2017,7,2131,부천시,2004,부천 범박 힐스테이트1단지,23,범안로,31800,59.95
2017,7,2131,부천시,2004,부천범박힐스테이트3단지,19,범안로95번길,37000,84.92
2017,7,2131,부천시,2004,부천범박힐스테이트2단지,13,범안로,37950,99.61
2017,7,2131,부천시,2003,현대홈타운1-6,13,은성로,34400,84.39
2017,7,2131,부천시,2003,현대홈타운1-6,6,은성로,30800,70.4
2017,7,2131,부천시,2004,부천 범박 힐스테이트1단지,8,범안로,22500,39.69
2017,7,2131,부천시,2003,부천범박힐스테이트 4단지,24,범안로96번길,36800,84.39
2017,7,2131,부천시,2006,오정생활휴먼시아2단지,3,오정로,34900,84.69
2017,7,2131,부천시,2006,오정생활휴먼시아2단지,14,오정로,37900,84.69
2017,7,2131,부천시,2006,오정생활휴먼시아1단지,4,오정로251번길,35900,84.84
2017,7,2131,부천시,2006,오정생활휴먼시아3단지,14,오정로,27700,59.95
2017,7,2131,부천시,1989,부촌3,3,성오로117번길,12400,40.92
2017,7,2131,부천시,1999,창보,3,오정로,23000,59.63
2017,7,2131,부천시,2010,여월휴먼시아(5단지),6,여월로,58250,135.59
2017,7,2131,부천시,2007,여월휴먼시아3단지,10,길주로573번길,45000,84.95
2017,7,2131,부천시,1991,동문2차,5,소사로835번길,20200,65.98
2017,7,2131,부천시,2003,제이디스카이빌,2,소사로,24800,59.99
2017,7,2131,부천시,1990,동문1차,5,소사로835번길,20700,63.81
2017,7,2131,부천시,1987,협성,5,고강로40번나길,9700,38.07
2017,7,2131,부천시,1989,삼신12,1,원종로9번길,17000,50.61
2017,7,2131,부천시,1989,삼신12,1,원종로9번길,17000,50.61
2017,7,2131,부천시,2017,계남랑데뷰,3,원종로66번길,35300,84.38
2017,7,2131,부천시,1983,미성,4,삼작로410번길,16500,43.71
2017,7,2131,부천시,2009,팰리스카운티,15,중동로,47700,84.99
2017,7,2131,부천시,1993,미리내마을(롯데1),12,소향로,18000,33.54
2017,7,2131,부천시,1997,덕유마을(주공4),12,도약로,26500,59.98
2017,7,2131,부천시,1994,포도마을(영남),9,조마루로,40000,84.86
2017,7,2131,부천시,1997,덕유마을(주공4),25,도약로,25700,59.98
2017,7,2131,부천시,1995,한라마을(주공2),8,계남로,18800,41.85
2017,7,2131,부천시,1995,보람마을(동남),6,석천로,36800,84.94
2017,7,2131,부천시,1995,한라마을(주공2),14,계남로,19400,41.85
2017,7,2131,부천시,2006,우남푸르미아,15,길주로377번길,31900,72.76
2017,7,2131,부천시,2002,중앙그린,7,원미로,27900,84.34
2017,7,2131,부천시,1995,은하마을(주공1),15,중동로,23700,49.69
2017,7,2131,부천시,1995,연화마을(대원),10,옥산로,35000,84.97
2017,7,2131,부천시,1995,중흥마을(주공),24,계남로,30200,58.71
2017,7,2131,부천시,1995,한라마을(주공2),13,계남로,18500,41.85
2017,7,2131,부천시,1994,금강마을(주공),11,계남로,27800,51.66
2017,7,2131,부천시,1994,꿈마을(동아),12,옥산로,45000,134.78
2017,7,2131,부천시,1995,중흥마을(주공),10,계남로,28300,58.71
2017,7,2131,부천시,2000,중동대림,3,계남로,34200,84.93
2017,7,2131,부천시,1996,한라마을(주공3),20,도약로,24400,59.56
2017,7,2131,부천시,1995,금강마을(주공),12,계남로,21700,41.85
2017,7,2131,부천시,1993,미리내마을(우성),7,소향로,19000,33.54
2017,7,2131,부천시,1995,보람마을(아주),21,조마루로,36700,84.94
2017,7,2131,부천시,1995,연화마을(대원),6,옥산로,35500,84.97
2017,7,2131,부천시,2009,팰리스카운티,18,중동로,45000,84.99
2017,7,2131,부천시,2009,팰리스카운티,17,중동로,38800,59.98
2017,7,2131,부천시,1993,포도마을(뉴서울),12,소향로,43000,110.66
2017,7,2131,부천시,1993,무지개마을(동신),9,조마루로,36000,84.6
2017,7,2131,부천시,1995,은하마을(주공2),8,계남로,26800,47.4
2017,7,2131,부천시,1993,미리내마을(동성),14,조마루로,36000,84.6
2017,7,2131,부천시,2009,팰리스카운티,24,중동로,39500,59.98
2017,7,2131,부천시,1993,미리내마을(롯데2),20,조마루로,32500,71.56
2017,7,2131,부천시,1987,대진,5,범안로,20500,65.43
2017,7,2131,부천시,1987,성우,3,안곡로149번길,11500,49.23
2017,7,2131,부천시,1989,염광,5,안곡로16번길,15250,52.33
2017,7,2131,부천시,1995,신호,3,경인로562번길,18800,59.82
2017,7,2131,부천시,1987,대현9차,2,경인로498번길,13000,48.75
2017,7,2131,부천시,2005,클레버,3,범안로45번길,22800,77.22
2017,7,2131,부천시,1987,대현청실,3,부광로22번길,14500,44.28
2017,7,2131,부천시,2002,진달래마을(대림),17,도약로,43800,84.95
2017,7,2131,부천시,2002,백송마을(엘지에스케이),1,상동로,51500,126.31
2017,7,2131,부천시,2002,라일락마을(대우유림),16,상동로117번길,40800,84.92
