gc hospital,hn,sn,,gc factory,hn,sn,,cargc,hn,sn
20111005,20160922,20120716,,2/9/2006,6/21/2017,6/25/1997,,8/26/2009,4/22/2014,10/20/2009
20111020,20170403,20030317,,11/30/2012,6/21/2011,11/5/2014,,1/9/2002,5/24/2011,4/19/2011
20120127,20161021,20060807,,7/12/2010,10/24/2014,12/12/2003,,6/25/2008,9/27/2016,4/20/1976
20030424,20160518,20160829,,2/8/2006,3/3/2015,7/27/2010,,8/16/2006,3/31/1994,3/21/2005
20080916,20170217,20161115,,1/4/2010,2/25/2011,12/23/1997,,10/25/2005,11/7/2016,7/31/2004
20140901,20160816,20170809,,6/16/2009,11/13/2012,1/24/2008,,3/20/2017,5/30/2008,12/29/2008
20130508,20150702,20170914,,6/11/1994,10/11/2016,3/31/2015,,12/3/2015,1/9/1998,11/10/2014
20090910,20160727,20040204,,2/16/2004,1/27/2016,6/26/2006,,6/20/2016,7/5/2005,6/10/2016
20040402,20160112,20160105,,1/28/2011,2/19/2013,9/5/2017,,11/5/2009,3/7/2008,3/20/1999
20061114,20161103,20140508,,2/8/2011,12/7/2011,1/5/2012,,9/8/1997,12/17/2012,6/26/2015
20070601,20160803,20131202,,7/12/2012,5/21/2013,11/30/1994,,5/27/2011,6/21/2017,12/8/2014
19851203,20161221,20131125,,3/12/2010,9/30/2003,6/26/2001,,4/3/2004,2/14/2012,1/4/2006
20121226,20180313,20130910,,6/11/1994,5/18/2010,2/14/2006,,4/27/2011,1/2/2015,6/19/1998
19990406,20171215,20120713,,2/9/2007,8/9/2017,8/6/1998,,5/24/2011,1/10/2012,9/3/2010
19991104,20180221,20120504,,5/1/2014,8/19/2015,12/11/1998,,9/4/2006,7/2/2013,9/23/2011
20030607,20171221,19811119,,3/21/2013,1/14/2011,5/31/1995,,6/10/2010,5/26/2011,3/17/2011
20070321,20161221,19980328,,2/23/2011,1/31/2013,6/7/2013,,7/30/2008,5/22/2012,11/23/2012
20130925,20180116,19950324,,6/11/1994,11/27/2017,5/14/1998,,6/14/2011,12/3/1999,2/14/2004
19890207,20180305,20040303,,6/11/1994,5/19/2010,8/7/2017,,9/21/2009,9/22/1998,11/26/1998
19900804,20160908,20000226,,3/19/2014,2/4/2016,3/5/2004,,12/31/2007,1/20/1999,11/19/2007
19860425,20171128,20030415,,7/18/2017,8/11/2017,2/22/2013,,3/2/2017,12/14/1999,4/18/2003
20020103,20160307,20060201,,1/12/2018,2/27/2015,5/30/2007,,7/7/2016,1/15/1998,7/21/1998
20030130,20160929,20000226,,6/27/2013,8/6/2014,5/18/2005,,5/2/2011,6/19/2006,10/2/1998
20140723,20160104,20101004,,11/15/2006,10/21/2011,4/22/2011,,10/23/2014,6/25/2004,12/16/1998
20081224,20160729,20100111,,,10/18/2017,6/16/2017,,7/23/2015,2/18/1999,3/24/2017
20140714,20160823,20050217,,,10/17/2012,7/25/2013,,7/25/2008,1/30/2013,12/24/2008
20100201,20160526,20061115,,,11/14/2011,1/10/2011,,9/3/2010,12/14/1998,8/6/1997
20010426,20140709,20040608,,,3/28/2011,2/27/1997,,6/17/2011,11/2/2009,11/24/1998
20070425,20161103,20060112,,,7/20/2011,1/13/2001,,6/25/2008,5/1/2004,6/10/2016
19850119,20151023,20060131,,,11/1/2017,4/7/2008,,7/16/2014,11/24/2015,9/11/2012
20160512,20160530,20060215,,,3/22/2007,3/24/1998,,6/20/2016,12/14/1998,3/20/2008
20010416,20161004,20020509,,,12/30/2011,10/17/2000,,4/27/2011,8/24/1999,12/31/2015
20090721,20180301,20020516,,,11/9/2010,6/17/1994,,7/7/2016,2/12/2009,6/23/2016
20020807,20000609,20020924,,,9/8/2015,9/3/1994,,7/16/2009,1/20/1999,9/5/2011
20031101,20010616,20021211,,,2/21/2012,5/11/1995,,7/16/2014,8/16/2011,10/9/1998
20070927,20100512,19950801,,,9/6/2013,6/8/2004,,11/25/2002,5/31/2011,5/2/2003
20160818,20171124,19960227,,,1/3/2017,1/26/1999,,7/24/2004,5/8/2000,2/3/1999
20150212,20030429,19960311,,,2/23/1995,12/24/2009,,2/13/2008,2/1/2004,3/6/1999
20150212,20160826,19960417,,,8/27/2009,7/18/2001,,2/5/2008,2/17/2014,9/9/2000
20140211,20160921,19970409,,,11/5/2014,3/19/1999,,2/10/2017,2/28/2013,6/30/1998
20020221,20170320,19980423,,,6/7/2012,3/15/2014,,4/6/2016,5/9/2011,4/21/2014
19850202,20150618,20060224,,,10/1/2009,1/29/2008,,10/1/2007,3/3/1998,2/18/2000
19860507,20160922,20060224,,,6/7/2012,3/12/2001,,2/15/2007,10/5/2016,4/10/2006
19900625,20161004,20061228,,,1/17/1997,3/9/2015,,5/6/2011,3/10/2000,11/17/1998
19910422,20160420,20031017,,,5/24/2012,4/12/1999,,9/17/2002,12/8/2006,2/20/2002
19940222,20150817,20040205,,,3/11/2011,5/15/2012,,7/6/2011,4/28/1998,9/3/2003
,20050526,20040316,,,8/9/2017,1/19/2007,,,12/28/2016,9/14/2004
,20170207,20170602,,,12/20/2017,7/20/1998,,,6/21/2017,12/3/1998
,,20170612,,,10/18/2017,5/12/2010,,,12/22/2005,12/27/2012
,,20170228,,,11/14/2017,4/28/2014,,,3/16/1999,10/31/2014
,,20170602,,,7/6/1994,2/24/2015,,,5/13/2000,3/5/2009
,,20150519,,,3/3/1997,9/7/2011,,,2/12/1999,5/25/1999
,,20150908,,,8/19/2011,11/20/2012,,,7/8/2015,2/13/2001
,,20160510,,,7/3/2000,3/25/2002,,,9/9/2015,10/26/1998
,,20010904,,,2/17/2012,7/15/2015,,,12/18/2007,1/16/2009
,,20020130,,,5/29/2006,9/14/1994,,,12/14/1998,8/29/1998
,,20020219,,,10/12/2009,1/13/2015,,,12/24/1999,10/9/1998
,,19940311,,,3/24/2014,5/14/2010,,,8/1/2002,3/24/2004
,,19940316,,,5/8/1991,9/2/1998,,,5/21/2004,7/30/1998
,,19940810,,,12/14/2001,3/29/2000,,,12/4/1998,3/16/2006
,,19940901,,,4/17/2017,6/19/2003,,,5/8/2006,2/28/2001
,,19950328,,,9/26/2016,1/26/2007,,,12/13/2016,8/4/2010
,,20050105,,,4/15/2011,7/20/2017,,,10/11/2012,10/2/1998
,,19980716,,,5/12/2016,4/15/2014,,,10/9/1998,7/27/2011
,,19990908,,,12/22/2009,4/14/2010,,,5/21/2015,5/16/2006
,,19990921,,,4/26/2011,4/11/2002,,,3/17/2011,12/18/1998
,,19991025,,,12/26/2017,2/10/2012,,,10/10/2002,8/6/2014
