기준년도,기준월,기준일,시군명,건축년도,아파트명,층수,도로명,거래금액(만원),전용면적(㎡)
2017,7,2131,고양시,1995,장성마을(대명2),2,일산로,28000,59.04
2017,7,2131,고양시,1995,장성마을(대명2),10,일산로,29000,59.04
2017,7,2131,고양시,2003,대화마을(5단지),14,대화1로,35000,84.37
2017,7,2131,고양시,1995,성저마을(동익1단지),9,대산로,35000,69.31
2017,7,2131,고양시,2003,현대I-PARK(8),5,송포로,39900,84.87
2017,7,2131,고양시,2003,양우파크타운,12,대화1로,33900,84.23
2017,7,2131,고양시,2002,동문2,8,덕산로,21750,72.13
2017,7,2131,고양시,2011,하이파크시티 일산파밀리에3단지,13,하이파크2로59번길,41784,121.66
2017,7,2131,고양시,2002,동문2,4,덕산로,21950,84.33
2017,7,2131,고양시,1989,철산,5,경의로,13000,37.14
2017,7,2131,고양시,1989,철산,5,경의로,12000,36.21
2017,7,2131,고양시,2011,하이파크시티 일산파밀리에4단지,18,하이파크3로,38000,84.44
2017,7,2131,고양시,2011,하이파크시티 일산아이파크1단지,18,하이파크로,37500,84.97
2017,7,2131,고양시,2011,하이파크시티 일산파밀리에4단지,23,하이파크3로,47400,129.79
2017,7,2131,고양시,2011,하이파크시티 일산아이파크1단지,16,하이파크로,37700,84.99
2017,7,2131,고양시,2011,하이파크시티 일산파밀리에4단지,20,하이파크3로,37600,84.57
2017,7,2131,고양시,1989,철산,2,경의로,13450,36.21
2017,7,2131,고양시,2011,하이파크시티 일산파밀리에2단지,9,하이파크3로,43800,121.66
2017,7,2131,고양시,2011,하이파크시티 일산파밀리에4단지,4,하이파크3로,40000,101.93
2017,7,2131,고양시,2011,하이파크시티 일산아이파크5단지,13,하이파크3로,38500,84.97
2017,7,2131,고양시,2003,산들마을3단지,22,고양대로,35800,116.71
2017,7,2131,고양시,2003,일신휴먼빌(1655),9,원일로21번길,26400,70.98
2017,7,2131,고양시,1994,일산에이스(9차),6,고봉로329번길,25000,131.41
2017,7,2131,고양시,2013,푸르지오,5,일청로,31200,84.78
2017,7,2131,고양시,2002,대화마을동문(3단지),1,대화1로,29800,84.45
2017,7,2131,고양시,1995,후곡마을(서안),8,강선로,50000,130.23
2017,7,2131,고양시,2004,산들마을5단지,18,일중로,30800,84.86
2017,7,2131,고양시,1994,후곡마을(건영15),12,강선로,35700,70.98
2017,7,2131,고양시,1996,에이스,4,탄중로,17500,59.73
2017,7,2131,고양시,2013,푸르지오,13,일청로,32000,84.78
2017,7,2131,고양시,2003,일신휴먼빌(1655),25,원일로21번길,31400,84.99
2017,7,2131,고양시,1994,후곡마을(럭키),11,후곡로,24700,49.5
2017,7,2131,고양시,1994,후곡마을(현대18),3,일산로,29000,72.36
2017,7,2131,고양시,1994,후곡마을(건영6),8,일산로,22000,50.55
2017,7,2131,고양시,2013,푸르지오,10,일청로,20000,51.09
2017,7,2131,고양시,1994,후곡마을(럭키),7,후곡로,25500,49.5
2017,7,2131,고양시,2004,산들마을5단지,22,일중로,28000,84.86
2017,7,2131,고양시,2004,일산동양(955-2),6,고양대로,29000,84.97
2017,7,2131,고양시,2007,일신건영2차,3,원일로21번길,28500,84.93
2017,7,2131,고양시,2004,일산동양(955-2),16,고양대로,26000,59.94
2017,7,2131,고양시,1994,후곡마을(동신),4,후곡로,51000,164.52
2017,7,2131,고양시,2005,가좌마을5단지벽산,13,가좌1로,26500,59.91
2017,7,2131,고양시,2010,가좌마을7단지꿈에그린,13,송포로,44500,134.11
2017,7,2131,고양시,2005,가좌마을1단지양우,11,가좌4로,27900,84.64
2017,7,2131,고양시,2005,가좌마을2단지대우,2,가좌3로,28250,84.86
2017,7,2131,고양시,2005,가좌마을6단지벽산,16,가좌2로,29500,85
2017,7,2131,고양시,2001,"큰마을대림,현대아파트",6,일현로,21500,59.82
2017,7,2131,고양시,1995,탄현마을(부영7),3,탄현로,16500,50.28
2017,7,2131,고양시,2000,탄현마을풍림,3,현중로,22500,59.86
2017,7,2131,고양시,1995,탄현마을(부영3),10,홀트로,19900,46.58
2017,7,2131,고양시,2000,탄현마을서광,7,산현로17번길,27500,84.96
2017,7,2131,고양시,2013,일산두산위브더제니스,34,일현로,37500,59.93
2017,7,2131,고양시,2000,탄현마을풍림,9,현중로,23500,59.86
2017,7,2131,고양시,2000,탄현마을동신,12,산현로17번길,30300,84.98
2017,7,2131,고양시,1994,탄현마을(현대),8,현중로,23800,68.04
2017,7,2131,고양시,1994,탄현마을(일신),3,탄현로,21000,59.84
2017,7,2131,고양시,2001,"큰마을대림,현대아파트",11,일현로,22000,59.82
2017,7,2131,고양시,1995,탄현마을(부영3),7,홀트로,19300,46.58
2017,7,2131,고양시,1995,탄현마을(부영7),10,탄현로,17300,50.28
2017,7,2131,고양시,2000,탄현마을풍림,19,현중로,23500,59.86
2017,7,2131,고양시,2000,탄현마을삼환,9,현중로,31000,119.05
2017,7,2131,고양시,1995,후곡마을(벽산),7,킨텍스로,28000,70.44
2017,7,2131,고양시,1994,문촌마을(우성)1,4,대산로,33800,69.09
2017,7,2131,고양시,1994,강선마을태영,2,중앙로,17500,41.85
2017,7,2131,고양시,1995,강선마을(한양),1,대산로,43500,101.82
2017,7,2131,고양시,1994,강선마을(동성),9,호수로,26700,47.49
2017,7,2131,고양시,1994,강선마을(경남),1,강선로,39000,101.88
2017,7,2131,고양시,1993,강선마을(동신),7,대산로,37000,84.6
2017,7,2131,고양시,2005,가좌마을2단지대우,13,가좌3로,28500,84.86
2017,7,2131,고양시,2005,가좌마을5단지벽산,12,가좌1로,29900,85
2017,7,2131,고양시,2005,가좌마을5단지벽산,16,가좌1로,32000,101.98
2017,7,2131,고양시,2005,가좌마을6단지벽산,1,가좌2로,23000,124.94
2017,7,2131,고양시,2005,가좌마을5단지벽산,3,가좌1로,24300,59.91
2017,7,2131,고양시,2005,가좌마을2단지대우,12,가좌3로,29300,84.86
2017,7,2131,고양시,1996,성저마을(풍림),3,강성로,38000,83.7
2017,7,2131,고양시,1995,성저마을(동익1단지),4,대산로,39000,84.88
2017,7,2131,고양시,2002,대화마을동문(3단지),7,대화1로,33500,84.45
2017,7,2131,고양시,2003,양우파크타운,9,대화1로,35250,84.23
2017,7,2131,고양시,2000,세경,4,강성로,20600,40.32
2017,7,2131,고양시,1996,장성마을(3),1,일산로,51000,148.18
2017,7,2131,고양시,2003,일신휴먼빌(1655),6,원일로21번길,29500,84.99
2017,7,2131,고양시,2003,일신휴먼빌(1655),9,원일로21번길,27200,84.99
2017,7,2131,고양시,1985,세인,4,탄중로471번길,15000,55.08
2017,7,2131,고양시,1995,후곡마을(동아16),10,강선로,43000,84.79
2017,7,2131,고양시,2004,일산동양(955-2),10,고양대로,30500,84.97
2017,7,2131,고양시,2003,현대I-PARK(8),1,송포로,34000,84.87
2017,7,2131,고양시,1995,장성마을(대명2),14,일산로,34000,61.56
2017,7,2131,고양시,2002,대화마을동문(3단지),12,대화1로,34000,84.45
2017,7,2131,고양시,1995,장성마을(대명4),5,호수로,52100,130.47
2017,7,2131,고양시,1994,강선마을두진,19,중앙로,18900,44.32
2017,7,2131,고양시,1995,강선마을(한양),9,대산로,58000,134.96
2017,7,2131,고양시,1994,문촌마을(쌍용),9,대산로,52000,134.07
2017,7,2131,고양시,1994,문촌마을(동아),1,주엽로,36000,84.99
2017,7,2131,고양시,1993,강선마을(럭키),7,강선로,33200,60
2017,7,2131,고양시,1994,강선마을(두산),15,강선로,40500,69.08
2017,7,2131,고양시,1994,후곡마을(롯데),12,후곡로,26000,51.17
2017,7,2131,고양시,2004,산들마을5단지,14,일중로,30000,84.86
2017,7,2131,고양시,1994,후곡마을(현대18),9,일산로,33700,72.36
2017,7,2131,고양시,1995,후곡마을(코오롱),14,강선로,41400,84.79
2017,7,2131,고양시,1995,후곡마을(주공),10,경의로,27300,59.31
2017,7,2131,고양시,1994,후곡마을(현대18),10,일산로,39300,84.81
2017,7,2131,고양시,1995,후곡마을(한양),19,후곡로,40000,84.95
2017,7,2131,고양시,2004,일산동양(955-2),4,고양대로,27000,84.97
2017,7,2131,고양시,1994,후곡마을(건영15),10,강선로,40900,84.9
2017,7,2131,고양시,1995,후곡마을(대창),6,후곡로,30500,71.08
2017,7,2131,고양시,1995,후곡마을(코오롱),6,강선로,43500,84.79
