기준년도,기준월,기준일,시군명,건축년도,아파트명,층수,도로명,거래금액(만원),전용면적(㎡)
2017,7,2131,과천시,1983,주공4,12,별양로,89800,82.88
2017,7,2131,과천시,2008,래미안슈르,5,별양로,86000,84.95
2017,7,2131,과천시,1982,주공6,5,별양로,82000,54.48
2017,7,2131,과천시,1983,주공4,3,별양로,88000,82.88
2017,7,2131,과천시,2008,래미안슈르,8,별양로,84400,84.96
2017,7,2131,과천시,1983,주공4,12,별양로,70000,60.83
2017,7,2131,과천시,1983,주공5,1,별양로,112000,124.03
2017,7,2131,과천시,1982,주공6,4,별양로,75000,47.3
2017,7,2131,과천시,1983,주공4,6,별양로,80000,73.59
2017,7,2131,과천시,2008,래미안슈르,24,별양로,87000,84.95
2017,7,2131,과천시,2008,래미안슈르,9,별양로,69000,59.97
2017,7,2131,과천시,2008,래미안슈르,4,별양로,109000,136.63
2017,7,2131,과천시,2008,래미안슈르,6,별양로,101000,116.52
2017,7,2131,과천시,2008,래미안슈르,3,별양로,79500,84.95
2017,7,2131,과천시,2008,래미안슈르,10,별양로,70000,59.97
2017,7,2131,과천시,2008,래미안슈르,4,별양로,100500,116.99
2017,7,2131,과천시,2008,래미안슈르,16,별양로,82500,84.96
2017,7,2131,과천시,2008,래미안슈르,2,별양로,100000,116.99
2017,7,2131,과천시,2008,래미안슈르,5,별양로,69000,59.97
2017,7,2131,과천시,1982,주공2,5,별양로,95000,52.23
2017,7,2131,과천시,2008,래미안슈르,13,별양로,84000,84.95
2017,7,2131,과천시,2007,래미안에코팰리스,8,관문로,140000,128.58
2017,7,2131,과천시,2007,래미안에코팰리스,13,관문로,108000,84.95
2017,7,2131,과천시,1984,주공10,2,관문로,149900,124.45
2017,7,2131,과천시,2007,래미안에코팰리스,7,관문로,98000,84.95
2017,7,2131,과천시,1980,주공1,4,관문로,90000,46.44
2017,7,2131,과천시,2007,래미안에코팰리스,11,관문로,85500,59.99
2017,7,2131,과천시,2007,래미안에코팰리스,3,관문로,79000,59.99
2017,7,2131,과천시,1981,주공1,3,관문로,120000,82.18
2017,7,2131,과천시,2007,래미안에코팰리스,1,관문로,91000,84.95
2017,7,2131,과천시,1984,주공10,2,관문로,154000,124.45
2017,7,2131,과천시,1982,주공9,1,별양로,57800,47.3
2017,7,2131,과천시,1982,주공7,1,별양로,92500,47.3
2017,7,2131,과천시,1983,주공8,7,별양로,87000,83.2
2017,7,2131,과천시,1983,주공8,13,별양로,89500,83.2
2017,7,2131,과천시,2008,래미안슈르,3,별양로,78000,84.95
2017,7,2131,과천시,2008,래미안슈르,12,별양로,71800,59.97
2017,7,2131,과천시,2008,래미안슈르,13,별양로,83500,84.95
2017,7,2131,과천시,2008,래미안슈르,9,별양로,66000,59.97
2017,7,2131,과천시,2008,래미안슈르,19,별양로,112000,136.63
2017,7,2131,과천시,2008,래미안슈르,2,별양로,82000,84.95
2017,7,2131,과천시,2008,래미안슈르,20,별양로,111000,137.21
2017,7,2131,과천시,2008,래미안슈르,23,별양로,81000,84.96
2017,7,2131,과천시,2008,래미안슈르,20,별양로,113000,116.99
2017,7,2131,과천시,2008,래미안슈르,17,별양로,112500,137.21
2017,7,2131,과천시,1983,주공4,5,별양로,75000,73.59
2017,7,110,과천시,2008,래미안슈르,2,별양로,68000,59.97
2017,7,110,과천시,2008,래미안슈르,8,별양로,82800,84.96
2017,7,110,과천시,1983,주공4,3,별양로,63000,60.83
2017,7,110,과천시,1982,주공2,5,별양상가3로,85000,52.23
2017,7,110,과천시,1983,주공4,10,별양로,75000,73.59
2017,7,110,과천시,1983,주공4,7,별양로,75000,72.76
2017,7,110,과천시,1983,주공5,14,별양로,97000,103.64
2017,7,110,과천시,1982,주공7,1,별양로,97700,54.48
2017,7,110,과천시,1982,주공9,5,부림로,64500,54.48
2017,7,110,과천시,1983,주공8,2,별양로,75000,73.02
2017,7,110,과천시,1982,주공9,1,부림로,72000,73.73
2017,7,110,과천시,1982,주공7,5,별양로,110000,73.73
2017,7,110,과천시,1983,주공8,2,별양로,82500,83.2
2017,7,110,과천시,1982,주공7,5,별양로,110000,73.84
2017,7,110,과천시,2008,래미안슈르,18,별양로,79700,84.95
2017,7,110,과천시,2008,래미안슈르,14,별양로,80000,84.95
2017,7,110,과천시,2008,래미안슈르,16,별양로,80000,84.95
2017,7,110,과천시,1982,주공2,4,별양로,80000,46.45
2017,7,110,과천시,2008,래미안슈르,11,별양로,83700,84.96
2017,7,110,과천시,1982,주공2,2,별양로,50850,20.2
2017,7,110,과천시,2008,래미안슈르,13,별양로,69000,59.97
2017,7,110,과천시,2008,래미안슈르,3,별양로,82000,84.95
2017,7,110,과천시,2008,래미안슈르,9,별양로,80000,84.95
2017,7,110,과천시,2008,래미안슈르,7,별양로,83000,84.96
2017,7,110,과천시,1982,주공2,2,별양로,77000,46.45
2017,7,110,과천시,2008,래미안슈르,10,별양로,80500,84.95
2017,7,110,과천시,2008,래미안슈르,17,별양로,82900,84.95
2017,7,110,과천시,2008,래미안슈르,15,별양로,70000,59.97
2017,7,110,과천시,1982,주공2,4,별양로,84800,52.33
2017,7,110,과천시,2008,래미안슈르,16,별양로,81500,84.96
2017,7,110,과천시,2008,래미안슈르,10,별양로,69000,59.97
2017,7,110,과천시,1982,주공2,2,별양로,50000,20.2
2017,7,110,과천시,2008,래미안슈르,14,별양로,69000,59.97
2017,7,110,과천시,2008,래미안슈르,12,별양로,81300,84.96
2017,7,110,과천시,2008,래미안슈르,17,별양로,72000,59.97
2017,7,110,과천시,2007,래미안에코팰리스,9,관문로,139000,128.58
2017,7,110,과천시,2007,래미안에코팰리스,13,관문로,109500,84.95
2017,7,110,과천시,1982,주공9,4,부림로,74800,73.84
2017,7,1120,과천시,2008,래미안슈르,8,별양로,101700,116.52
2017,7,1120,과천시,1983,주공8,3,별양로,78000,73.02
