지역,2017년 01분기 지하1층,2017년 01분기 1층,2017년 01분기 2층,2017년 02분기 지하1층, 2017년 02분기 1층,2017년 02분기 2층
전체 임대료,,21.4,11.3,,21.4,11.2
전체 효용비율,,100,52.6,,100,52.6
서울특별시 임대료,23.6,52.3,29.2,23.8,52.4,29.1
서울특별시 효용비율,45.14,100,55.7,45.53,100,55.6
서울특별시도심 임대료,14.8,69.2,31.2,14.8,69.3,31.2
서울특별시도심 효용비율,21.4,100,45.1,21.39,100,45
서울특별시 도심 광화문 임대료,,65.9,31.1,,65.9,31.1
서울특별시 도심 광화문 효용비율,,100,47.1,,100,47.2
서울특별시 도심 동대문 임대료,,43.1,16.8,,43.1,16.8
서울특별시 도심 동대문 효용비율,,100,39,,100,39
서울특별시 도심 명동 임대료,,242.6,81,,241.6,80.9
서울특별시 도심 명동 효용비율,,100,33.4,,100,33.5
서울특별시 도심 서울역 임대료,,68.3,25.5,,68.5,25.5
서울특별시 도심 서울역 효용비율,,100,37.3,,100,37.2
서울특별시 도심 종로 임대료,8.4,66.6,36.3,8.4,66.7,36.3
서울특별시 도심 종로 효용비율,12.67,100,54.6,12.63,100,54.4
서울특별시 도심 충무로 임대료,17.9,47.1,17.4,17.9,47.3,17.3
서울특별시 도심 충무로 효용비율,37.99,100,36.9,37.82,100,36.6
서울특별시강남 임대료,21.3,56.2,33.1,22.4,56.3,32.7
서울특별시강남 효용비율,37.92,100,58.8,39.76,100,58
서울특별시 강남 강남대로 임대료,95.3,61.8,40.3,95.3,61.8,40.3
서울특별시 강남 강남대로 효용비율,154.2,100,65.3,154.2,100,65.3
서울특별시 강남 논현역 임대료,25.8,51.1,31.2,25.8,51.1,31.2
서울특별시 강남 논현역 효용비율,50.48,100,61.1,50.48,100,61.1
서울특별시 강남 도산대로 임대료,14.6,44.1,21.2,14.6,44.1,21.2
서울특별시 강남 도산대로 효용비율,33.13,100,48.1,33.13,100,48.1
서울특별시 강남 서초 임대료,12.6,52.3,36.5,12.6,51.2,32.3
서울특별시 강남 서초 효용비율,24.12,100,69.8,24.6,100,63
서울특별시 강남 신사역 임대료,17,58.3,33.2,17,58.1,33.2
서울특별시 강남 신사역 효용비율,29.2,100,56.9,29.3,100,57.1
서울특별시 강남 압구정 임대료,14.2,36,20.2,14.2,35.9,20.2
서울특별시 강남 압구정 효용비율,39.52,100,56.2,39.53,100,56.2
서울특별시 강남 청담 임대료,19.9,72.5,31.6,19.7,71.8,31.1
서울특별시 강남 청담 효용비율,27.42,100,43.5,27.41,100,43.3
서울특별시 강남 테헤란로 임대료,9.2,64.4,41.6,24.7,66.7,41.6
서울특별시 강남 테헤란로 효용비율,14.36,100,64.6,37.11,100,62.4
서울특별시영등포신촌 임대료,50.1,44,34.3,50.1,44,34.6
서울특별시영등포신촌 효용비율,113.78,100,77.8,113.84,100,78.5
서울특별시 영등포신촌 공덕역 임대료,,42.7,30.9,,42.7,30.9
서울특별시 영등포신촌 공덕역 효용비율,,100,72.4,,100,72.4
서울특별시 영등포신촌 신촌 임대료,13.7,38.3,19.5,13.7,38.4,19.5
서울특별시 영등포신촌 신촌 효용비율,35.68,100,50.9,35.64,100,50.8
서울특별시 영등포신촌 영등포 임대료,,32.6,28.8,,32.6,28.8
서울특별시 영등포신촌 영등포 효용비율,,100,88.2,,100,88.2
서울특별시 영등포신촌 홍대합정 임대료,52.5,63,37.2,52.5,62.9,37.7
서울특별시 영등포신촌 홍대합정 효용비율,83.36,100,59.1,83.52,100,59.9
서울특별시기타 임대료,15.9,44.1,25.6,15.9,44.2,25.6
서울특별시기타 효용비율,36.19,100,58.2,36.08,100,58
서울특별시 기타 건대입구 임대료,14.8,51.6,25.8,14.8,51.9,25.8
서울특별시 기타 건대입구 효용비율,28.77,100,50,28.6,100,49.7
서울특별시 기타 경희대 임대료,22.9,36.6,16.4,22.9,36.6,16.4
서울특별시 기타 경희대 효용비율,62.73,100,44.8,62.73,100,44.8
서울특별시 기타 군자 임대료,20.9,31.8,32,20.9,31.8,32
서울특별시 기타 군자 효용비율,65.9,100,100.7,65.9,100,100.7
서울특별시 기타 목동 임대료,,26.6,15.7,,26.6,15.7
서울특별시 기타 목동 효용비율,,100,59.2,,100,59.2
서울특별시 기타 불광역 임대료,13.4,32.3,18.2,13.4,32.3,18.2
서울특별시 기타 불광역 효용비율,41.62,100,56.5,41.62,100,56.5
서울특별시 기타 사당 임대료,9.9,60.2,39.9,9.9,61,39.9
서울특별시 기타 사당 효용비율,16.4,100,66.4,16.17,100,65.5
서울특별시 기타 서울대입구역 임대료,20.9,85.9,81.1,20.9,85.9,81.1
서울특별시 기타 서울대입구역 효용비율,24.28,100,94.3,24.28,100,94.3
서울특별시 기타 성신여대 임대료,29.3,55.5,17.8,29.3,55.5,17.8
서울특별시 기타 성신여대 효용비율,52.85,100,32.1,52.85,100,32.1
서울특별시 기타 수유 임대료,12.5,41.9,12.5,12.5,41.9,12.5
서울특별시 기타 수유 효용비율,29.93,100,29.9,29.93,100,29.9
서울특별시 기타 신림역 임대료,19.1,126.2,33.6,19.1,126.2,33.6
서울특별시 기타 신림역 효용비율,15.15,100,26.6,15.15,100,26.6
서울특별시 기타 오류동역 임대료,,38.9,,,38.9,
서울특별시 기타 오류동역 효용비율,,100,,,100,
서울특별시 기타 왕십리 임대료,20.7,45.2,15.8,20.7,45.2,15.8
서울특별시 기타 왕십리 효용비율,45.77,100,34.9,45.77,100,34.9
서울특별시 기타 용산 임대료,9.7,31.8,16.2,9.7,32,16.2
서울특별시 기타 용산 효용비율,30.52,100,50.9,30.31,100,50.5
서울특별시 기타 이태원 임대료,23.7,44.2,34,23.7,44.2,34
서울특별시 기타 이태원 효용비율,53.68,100,77.1,53.68,100,77.1
서울특별시 기타 잠실 임대료,18.5,29.9,10.5,18.5,30.1,10.5
서울특별시 기타 잠실 효용비율,61.66,100,35,61.4,100,34.9
서울특별시 기타 장안동 임대료,2.5,35.7,,2.5,35.7,
서울특별시 기타 장안동 효용비율,6.9,100,,6.9,100,
서울특별시 기타 천호 임대료,7.1,46.6,30.1,7.1,46.6,30.1
서울특별시 기타 천호 효용비율,15.19,100,64.7,15.19,100,64.7
서울특별시 기타 청량리 임대료,,32.3,14.4,,32.6,14.4
서울특별시 기타 청량리 효용비율,,100,44.4,,100,44
서울특별시 기타 혜화동 임대료,22.1,78.7,42.8,22.1,78.7,42.8
서울특별시 기타 혜화동 효용비율,28.05,100,54.4,28.05,100,54.4
서울특별시 기타 화곡 임대료,5.4,25.2,16.6,5.4,25.2,16.6
서울특별시 기타 화곡 효용비율,21.54,100,65.7,21.54,100,65.7
부산광역시 임대료,14,28.1,13,14,28.2,13
부산광역시 효용비율,49.89,100,46.1,49.73,100,46.2
부산광역시 경성대/부경대 임대료,,31.9,23,,31.9,23
부산광역시 경성대/부경대 효용비율,,100,72.1,,100,72.1
부산광역시 광안리 임대료,7.5,19.6,11.5,7.5,20.1,11.5
부산광역시 광안리 효용비율,38.29,100,58.8,37.46,100,57.5
부산광역시 남포동 임대료,,52.8,15.5,,51.1,15.8
부산광역시 남포동 효용비율,,100,29.4,,100,30.8
부산광역시 덕천역 임대료,,31.7,12.3,,31.7,12.3
부산광역시 덕천역 효용비율,,100,38.9,,100,38.9
부산광역시 동래역 임대료,3.3,27.7,12.4,3.3,27.7,12.4
부산광역시 동래역 효용비율,11.86,100,45,11.86,100,45
부산광역시 부산광역시대학앞 임대료,6.3,20.8,9.9,6.3,20.8,9.9
부산광역시 부산광역시대학앞 효용비율,30.45,100,47.4,30.45,100,47.4
부산광역시 부산광역시역 임대료,,34.1,15.3,,34.1,15.3
부산광역시 부산광역시역 효용비율,,100,44.9,,100,44.9
부산광역시 사상역 임대료,,14.8,8.7,,14.8,8.7
부산광역시 사상역 효용비율,,100,58.8,,100,58.8
부산광역시 서면 임대료,,26.9,13.7,,26.9,13.7
부산광역시 서면 효용비율,,100,51,,100,51
